 INPUT STRING:	نفسي
     IS_TRANS:	nfsy
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(nifosiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	nifos+iy
        GLOSS:	appetite+my

 INPUT STRING:	مرة
     IS_TRANS:	mrp
        INDEX:	P1W2
      OFFSETS:	5-8
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(mar~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mar~+ap
        GLOSS:	occasion/time/moment/occasions/times/moments/once/one time+[fem.sg.]

 INPUT STRING:	اعرف
     IS_TRANS:	AErf
        INDEX:	P1W3
      OFFSETS:	9-13
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(AaEoraf)
          POS:	IV1S+IV
          VOC:	Aa+Eoraf
        GLOSS:	I+know

 INPUT STRING:	ارد
     IS_TRANS:	Ard
        INDEX:	P1W4
      OFFSETS:	14-17
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(Aarud~)
          POS:	IV1S+IV
          VOC:	Aa+rud~
        GLOSS:	I+answer/reply/return/be returned/be given back

 INPUT STRING:	عليك
     IS_TRANS:	Elyk
        INDEX:	P1W5
      OFFSETS:	18-22
       TOKENS:	P1W6-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(Ealayk)
          POS:	PREP+PRON_2MS
          VOC:	EalaY+ak
        GLOSS:	on/above+you

 INPUT STRING:	برنة
     IS_TRANS:	brnp
        INDEX:	P1W6
      OFFSETS:	23-27
       TOKENS:	P1W8-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ran~ap_1]
   UNSPLITVOC:	(biran~ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+ran~+ap
        GLOSS:	with/by+ringing/reverberation/shout+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P1W7
      OFFSETS:	28-31
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	طوووووول
     IS_TRANS:	Twwwwwwl
        INDEX:	P1W8
      OFFSETS:	32-40
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(Tuwl)
          POS:	NOUN
          VOC:	Tuwl
        GLOSS:	length

 INPUT STRING:	مشغولة
     IS_TRANS:	m$gwlp
        INDEX:	P1W9
      OFFSETS:	41-47
       TOKENS:	P1W12-P1W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma$oguwl_1]
   UNSPLITVOC:	(ma$oguwlap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	ma$oguwl+ap
        GLOSS:	busy/occupied+[fem.sg.]

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يبارك
     IS_TRANS:	ybArk
        INDEX:	P2W2
      OFFSETS:	5-10
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bArik_1]
   UNSPLITVOC:	(yibArik)
          POS:	IV3MS+IV
          VOC:	yi+bArik
        GLOSS:	he/it+congratulate/bless/approve

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P2W3
      OFFSETS:	11-13
       TOKENS:	P2W4-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lak)
          POS:	PREP+PRON_2MS
          VOC:	li+ak
        GLOSS:	to/for+you

 INPUT STRING:	ويجعله
     IS_TRANS:	wyjElh
        INDEX:	P2W4
      OFFSETS:	14-20
       TOKENS:	P2W6-P2W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jaEal_1]
   UNSPLITVOC:	(wiyijoEaluh)
          POS:	CONJ+IV3MS+IV+IVSUFF_DO:3MS
          VOC:	wi+yi+joEal+uh
        GLOSS:	and+he/it+make/bring about/appoint+it/him

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P2W5
      OFFSETS:	21-23
       TOKENS:	P2W9-P2W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ميزان
     IS_TRANS:	myzAn
        INDEX:	P2W6
      OFFSETS:	24-29
       TOKENS:	P2W10-P2W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyzAn_1]
   UNSPLITVOC:	(miyzAn)
          POS:	NOUN
          VOC:	miyzAn
        GLOSS:	weight scales/measure/meter/balance/weight scale/standard/standards

 INPUT STRING:	حسناتك
     IS_TRANS:	HsnAtk
        INDEX:	P2W7
      OFFSETS:	30-36
       TOKENS:	P2W11-P2W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hasanap_1]
   UNSPLITVOC:	(HasanAtik)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_2FS
          VOC:	Hasan+At+ik
        GLOSS:	good deed/merit/good deeds/merits+[fem.pl.]+your

 INPUT STRING:	امييين
     IS_TRANS:	Amyyyn
        INDEX:	P3W1
      OFFSETS:	0-6
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|amiyn_1]
   UNSPLITVOC:	(|amiyn)
          POS:	VERB
          VOC:	|amiyn
        GLOSS:	Amen

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P3W2
      OFFSETS:	7-11
       TOKENS:	P3W2-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yA_rab)
          POS:	VOC_PART+NOUN
          VOC:	yA+rab
        GLOSS:	O/oh+lord/master/lords/masters/owner/proprietor/owners/proprietors

 INPUT STRING:	كإنك
     IS_TRANS:	k<nk
        INDEX:	P3W3
      OFFSETS:	12-16
       TOKENS:	P3W4-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ka<in~_1]
   UNSPLITVOC:	(ka<in~ik)
          POS:	PSEUDO_VERB+PRON_2FS
          VOC:	ka<in~+ik
        GLOSS:	like/as though/as if+you

 INPUT STRING:	رنيتي
     IS_TRANS:	rnyty
        INDEX:	P3W4
      OFFSETS:	17-22
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ran~_1]
   UNSPLITVOC:	(ranaytiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	ran+aytiy
        GLOSS:	ring+you

