 INPUT STRING:	ياسمين
     IS_TRANS:	yAsmyn
        INDEX:	P1W1
      OFFSETS:	0-6
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yAsomiyn_1]
   UNSPLITVOC:	(yAsomiyn)
          POS:	NOUN_PROP
          VOC:	yAsomiyn
        GLOSS:	Yasmin/Yasmeen/Jasmine

 INPUT STRING:	يارا
     IS_TRANS:	yArA
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yArA_1]
   UNSPLITVOC:	(yArA)
          POS:	NOUN_PROP
          VOC:	yArA
        GLOSS:	Yara

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P3W1
      OFFSETS:	0-2
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	شاهندا
     IS_TRANS:	$AhndA
        INDEX:	P3W2
      OFFSETS:	3-9
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$Ahindap_1]
   UNSPLITVOC:	($AhindaA)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	$Ahnd+ap
        GLOSS:	Shahenda+[fem.sg.]

 INPUT STRING:	فين
     IS_TRANS:	fyn
        INDEX:	P3W3
      OFFSETS:	10-13
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fayon_1]
   UNSPLITVOC:	(fayon)
          POS:	INTERROG_ADV
          VOC:	fayon
        GLOSS:	where

 INPUT STRING:	بالظبط
     IS_TRANS:	bAlZbT
        INDEX:	P3W4
      OFFSETS:	14-20
       TOKENS:	P3W4-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ZaboT_1]
   UNSPLITVOC:	(biAlZaboT)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+ZaboT
        GLOSS:	with/by+the+adjusting/regulating/precision/seizure/confiscation

 INPUT STRING:	مينفعش
     IS_TRANS:	mynfE$
        INDEX:	P3W5
      OFFSETS:	21-27
       TOKENS:	P3W6-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifiE_1]
   UNSPLITVOC:	(mA_yinofaE$)
          POS:	NEG_PART+IV3MS+IV+NEG_PART
          VOC:	mA+yi+nofaE+$
        GLOSS:	not+he/it+be of use+not

 INPUT STRING:	اجيب
     IS_TRANS:	Ajyb
        INDEX:	P3W6
      OFFSETS:	28-32
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(Aajiyb)
          POS:	IV1S+IV
          VOC:	Aa+jiyb
        GLOSS:	I+explore/traverse

 INPUT STRING:	منها
     IS_TRANS:	mnhA
        INDEX:	P3W7
      OFFSETS:	33-37
       TOKENS:	P3W10-P3W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minhA)
          POS:	PREP+PRON_3FS
          VOC:	min+hA
        GLOSS:	from+it/she

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P3W8
      OFFSETS:	38-41
       TOKENS:	P3W12-P3W12
