 INPUT STRING:	حلوين
     IS_TRANS:	Hlwyn
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilowiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	Hilow+iyn
        GLOSS:	sweet+plural

 INPUT STRING:	قوي
     IS_TRANS:	qwy
        INDEX:	P1W2
      OFFSETS:	6-9
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(qawiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	شوفتي
     IS_TRANS:	$wfty
        INDEX:	P2W1
      OFFSETS:	0-5
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($uwftiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	$uwf+tiy
        GLOSS:	look+you

 INPUT STRING:	كاتاكيت
     IS_TRANS:	kAtAkyt
        INDEX:	P2W2
      OFFSETS:	6-13
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(kAtAkyt)
          POS:	TYPO
          VOC:	kAtAkyt
        GLOSS:	nogloss

 INPUT STRING:	ملونة
     IS_TRANS:	mlwnp
        INDEX:	P2W3
      OFFSETS:	14-19
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[milaw~in_1]
   UNSPLITVOC:	(milaw~inap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	milaw~in+ap
        GLOSS:	colored/multicolored/kaleidoscopic/multi colored/not white+[fem.sg.]

 INPUT STRING:	
     IS_TRANS:	&#xe106;
        INDEX:	P2W4
      OFFSETS:	20-21
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
