 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	حأنام
     IS_TRANS:	H>nAm
        INDEX:	P1W2
      OFFSETS:	4-9
       TOKENS:	P1W2-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAm_1]
   UNSPLITVOC:	(HaAanAm)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+nAm
        GLOSS:	will+I+sleep/lie down

 INPUT STRING:	وآسفة
     IS_TRANS:	w|sfp
        INDEX:	P1W3
      OFFSETS:	10-15
       TOKENS:	P1W4-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|sf_1]
   UNSPLITVOC:	(wa|sfap)
          POS:	SUB_CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wa+|sf+ap
        GLOSS:	while+sorry/regretful+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P1W4
      OFFSETS:	16-19
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	أي
     IS_TRANS:	>y
        INDEX:	P1W5
      OFFSETS:	20-22
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	مضايقة
     IS_TRANS:	mDAyqp
        INDEX:	P1W6
      OFFSETS:	23-29
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miD~Ayiq_1]
   UNSPLITVOC:	(miD~Ayiqap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	miD~Ayiq+ap
        GLOSS:	be annoyed/be angry/bothered/annoyed+[fem.sg.]

 INPUT STRING:	بسببها
     IS_TRANS:	bsbbhA
        INDEX:	P1W7
      OFFSETS:	30-36
       TOKENS:	P1W9-P1W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(bisababhA)
          POS:	PREP+NOUN.VN+POSS_PRON_3FS
          VOC:	bi+sabab+hA
        GLOSS:	with/by+reason/cause/because of/due to/reasons/causes/circumstances+its/their/her

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P1W8
      OFFSETS:	37-39
       TOKENS:	P1W12-P1W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liak)
          POS:	PREP+PRON_2MS
          VOC:	li+ak
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+you

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	NOUN
          VOC:	mumokin
        GLOSS:	possibilities

 INPUT STRING:	أكلمك
     IS_TRANS:	>klmk
        INDEX:	P2W2
      OFFSETS:	5-10
       TOKENS:	P2W2-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(Aakal~imak)
          POS:	IV1S+IV+IVSUFF_DO:2MS
          VOC:	Aa+kal~im+ak
        GLOSS:	I+talk/speak/talk to+you

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P2W3
      OFFSETS:	10-11
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	بأحبك
     IS_TRANS:	b>Hbk
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(biAaHib~ak)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:2MS
          VOC:	bi+Aa+Hib~+ak
        GLOSS:	[present-tense]+I+love/like/want+you

 INPUT STRING:	وبأموت
     IS_TRANS:	wb>mwt
        INDEX:	P3W2
      OFFSETS:	6-12
       TOKENS:	P3W4-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAt_1]
   UNSPLITVOC:	(wibiAamuwt)
          POS:	SUB_CONJ+PROG_PART+IV1S+IV
          VOC:	wi+bi+Aa+muwt
        GLOSS:	while+[present-tense]+I+die/pass away

 INPUT STRING:	فيكي
     IS_TRANS:	fyky
        INDEX:	P3W3
      OFFSETS:	13-17
       TOKENS:	P3W7-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyik)
          POS:	PREP+PRON_2FS
          VOC:	fiy+ik
        GLOSS:	in+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P3W4
      OFFSETS:	18-20
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	عبيطة
     IS_TRANS:	EbyTp
        INDEX:	P3W5
      OFFSETS:	21-26
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EabiyT_1]
   UNSPLITVOC:	(EabiyTap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EabiyT+ap
        GLOSS:	fool/fools/prematurely dead/fresh+[fem.sg.]

 INPUT STRING:	سجاد
     IS_TRANS:	sjAd
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sij~Adap_1]
