 INPUT STRING:	طارق
     IS_TRANS:	TArq
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAriq_1]
   UNSPLITVOC:	(TAriq)
          POS:	NOUN_PROP
          VOC:	TAriq
        GLOSS:	Tariq

 INPUT STRING:	آجي
     IS_TRANS:	|jy
        INDEX:	P1W2
      OFFSETS:	5-8
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jA_1]
   UNSPLITVOC:	(Aajiy)
          POS:	IV1S+IV
          VOC:	Aa+jiy
        GLOSS:	I+came/come

 INPUT STRING:	امتى
     IS_TRANS:	AmtY
        INDEX:	P1W3
      OFFSETS:	9-13
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imotaY_1]
   UNSPLITVOC:	(<imotaY)
          POS:	INTERROG_ADV
          VOC:	<imotaY
        GLOSS:	when

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P1W4
      OFFSETS:	14-15
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	آجي
     IS_TRANS:	|jy
        INDEX:	P2W1
      OFFSETS:	0-3
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jA_1]
   UNSPLITVOC:	(Aajiy)
          POS:	IV1S+IV
          VOC:	Aa+jiy
        GLOSS:	I+came/come

 INPUT STRING:	إمتى
     IS_TRANS:	<mtY
        INDEX:	P2W2
      OFFSETS:	4-8
