 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	رجعت
     IS_TRANS:	rjEt
        INDEX:	P1W2
      OFFSETS:	4-8
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(rijiEt)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	rijiE+t
        GLOSS:	come back/go back/return back/return+you

 INPUT STRING:	تشرب
     IS_TRANS:	t$rb
        INDEX:	P1W3
      OFFSETS:	9-13
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$irib_1]
   UNSPLITVOC:	(ti$orab)
          POS:	IV2MS+IV
          VOC:	ti+$orab
        GLOSS:	you+drink/be drunk/be caused absorb/soak up/make drink/sip/water/sate

 INPUT STRING:	سجاير
     IS_TRANS:	sjAyr
        INDEX:	P1W4
      OFFSETS:	14-19
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyjArap_1]
   UNSPLITVOC:	(sajAyir)
          POS:	NOUN
          VOC:	sajAyir
        GLOSS:	cigarette/cigarettes

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P1W5
      OFFSETS:	19-20
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P1W6
      OFFSETS:	20-21
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

