 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(walA)
          POS:	NOUN
          VOC:	walA
        GLOSS:	boy

 INPUT STRING:	حوده
     IS_TRANS:	Hwdh
        INDEX:	P1W2
      OFFSETS:	4-8
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Huwdap_1]
   UNSPLITVOC:	(Huwdap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	Huwd+ap
        GLOSS:	Houda+[fem.sg.]

 INPUT STRING:	معاك
     IS_TRANS:	mEAk
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAk)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	maEa+ak
        GLOSS:	with+your

 INPUT STRING:	نمرة
     IS_TRANS:	nmrp
        INDEX:	P2W2
      OFFSETS:	5-9
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nimorap_1]
   UNSPLITVOC:	(nimorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	nimor+ap
        GLOSS:	number+[fem.sg.]

 INPUT STRING:	تليفون
     IS_TRANS:	tlyfwn
        INDEX:	P2W3
      OFFSETS:	10-16
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tilifuwn_1]
   UNSPLITVOC:	(tiliyfuwn)
          POS:	NOUN
          VOC:	tiliyfuwn
        GLOSS:	telephone

 INPUT STRING:	البيت
     IS_TRANS:	Albyt
        INDEX:	P2W4
      OFFSETS:	17-22
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyt_1]
   UNSPLITVOC:	(Albiyt)
          POS:	DET+NOUN
          VOC:	Al+biyt
        GLOSS:	the+house/houses/verse/verses

 INPUT STRING:	btAE
     IS_TRANS:	btAE
        INDEX:	P2W5
      OFFSETS:	23-27
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAE)
          POS:	NOUN
          VOC:	bitAE
        GLOSS:	owners/something/belongings

 INPUT STRING:	فوزي
     IS_TRANS:	fwzy
        INDEX:	P2W6
      OFFSETS:	28-32
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fawziy_1]
   UNSPLITVOC:	(fawziy)
          POS:	NOUN_PROP
          VOC:	fawziy
        GLOSS:	Fawzi

 INPUT STRING:	اوكى
     IS_TRANS:	AwkY
        INDEX:	P2W7
      OFFSETS:	33-37
