 INPUT STRING:	أريك
     IS_TRANS:	>ryk
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(>ryk)
          POS:	TYPO+PRON_2MS
          VOC:	>ry+ak
        GLOSS:	nogloss+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P1W2
      OFFSETS:	5-7
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	دولفن
     IS_TRANS:	dwlfn
        INDEX:	P1W3
      OFFSETS:	8-13
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[duwlfin_1]
   UNSPLITVOC:	(duwlfin)
          POS:	NOUN
          VOC:	duwlfin
        GLOSS:	dolphin

 INPUT STRING:	صباح
     IS_TRANS:	SbAH
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SabAH_1]
   UNSPLITVOC:	(SabAH)
          POS:	NOUN
          VOC:	SabAH
        GLOSS:	morning/in the morning

 INPUT STRING:	الخير
     IS_TRANS:	Alxyr
        INDEX:	P2W2
      OFFSETS:	5-10
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xiyr_1]
   UNSPLITVOC:	(Alxiyr)
          POS:	DET+NOUN
          VOC:	Al+xiyr
        GLOSS:	the+good

 INPUT STRING:	إنشاء
     IS_TRANS:	<n$A'
        INDEX:	P2W3
      OFFSETS:	11-16
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	(<in$A')
          POS:	SUB_CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	<in+$A'+(null)
        GLOSS:	if+want+he

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P2W4
      OFFSETS:	17-21
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	تكون
     IS_TRANS:	tkwn
        INDEX:	P2W5
      OFFSETS:	22-26
       TOKENS:	P2W6-P2W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwn)
          POS:	IV2MS+IV
          VOC:	ti+kuwn
        GLOSS:	you+be/was/were

 INPUT STRING:	كويس
     IS_TRANS:	kwys
        INDEX:	P2W6
      OFFSETS:	27-31
       TOKENS:	P2W7-P2W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuw~ayis)
          POS:	ADJ
          VOC:	kuw~ayis
        GLOSS:	beautiful/nice/fine (arts)/brilliant/pleasant/shining with light/pretty/attractive

 INPUT STRING:	صباح
     IS_TRANS:	SbAH
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SabAH_1]
   UNSPLITVOC:	(SabAH)
          POS:	NOUN
          VOC:	SabAH
        GLOSS:	morning/in the morning

 INPUT STRING:	الخير
     IS_TRANS:	Alxyr
        INDEX:	P3W2
      OFFSETS:	5-10
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xiyr_1]
   UNSPLITVOC:	(Alxiyr)
          POS:	DET+NOUN
          VOC:	Al+xiyr
        GLOSS:	the+good

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P3W3
      OFFSETS:	11-13
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	اسد
     IS_TRANS:	Asd
        INDEX:	P3W4
      OFFSETS:	14-17
       TOKENS:	P3W4-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asad_1]
   UNSPLITVOC:	(>asad)
          POS:	NOUN
          VOC:	>asad
        GLOSS:	lion/lions/lioness

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P3W5
      OFFSETS:	18-21
       TOKENS:	P3W5-P3W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	معتكف
     IS_TRANS:	mEtkf
        INDEX:	P3W6
      OFFSETS:	22-27
       TOKENS:	P3W6-P3W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muEotakif_1]
   UNSPLITVOC:	(muEotakif)
          POS:	ADJ
          VOC:	muEotakif
        GLOSS:	secluded/isolated

 INPUT STRING:	النهارده
     IS_TRANS:	AlnhArdh
        INDEX:	P3W7
      OFFSETS:	28-36
       TOKENS:	P3W7-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nahArodap_1]
   UNSPLITVOC:	(AlnahArodap)
          POS:	DET+NOUN+DEM_PRON_MS
          VOC:	Al+nahAr+dah
        GLOSS:	the + morning/day/today+this[masc.sg.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P3W8
      OFFSETS:	37-40
       TOKENS:	P3W9-P3W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P3W9
      OFFSETS:	41-44
       TOKENS:	P3W10-P3W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>iyoh_1]
   UNSPLITVOC:	(>iyoh)
          POS:	INTERROG_PRON
          VOC:	>iyoh
        GLOSS:	what

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P4W1
      OFFSETS:	0-3
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	معاك
     IS_TRANS:	mEAk
        INDEX:	P4W2
      OFFSETS:	4-8
       TOKENS:	P4W2-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEaak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	maEa+ak
        GLOSS:	with+you

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P4W3
      OFFSETS:	9-12
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الخط
     IS_TRANS:	AlxT
        INDEX:	P4W4
      OFFSETS:	13-17
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaT~_1]
   UNSPLITVOC:	(AlxaT~)
          POS:	DET+NOUN
          VOC:	Al+xaT~
