 INPUT STRING:	كلمي
     IS_TRANS:	klmy
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(kal~imiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	kal~im+iy
        GLOSS:	talk/speak/talk to+you

 INPUT STRING:	طنط
     IS_TRANS:	TnT
        INDEX:	P1W2
      OFFSETS:	5-8
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TanoT_1]
   UNSPLITVOC:	(TanoT)
          POS:	NOUN
          VOC:	TanoT
        GLOSS:	paternal aunt/auntie/aunt

 INPUT STRING:	خليها
     IS_TRANS:	xlyhA
        INDEX:	P1W3
      OFFSETS:	9-14
       TOKENS:	P1W3-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(xal~iyhA)
          POS:	CV+CVSUFF_SUBJ:2FS+CVSUFF_DO:3FS
          VOC:	xal~+iy+hA
        GLOSS:	release/evacuate/allow/be released/be evacuated/be allowed+you+it/them/her

 INPUT STRING:	تفطر
     IS_TRANS:	tfTr
        INDEX:	P1W4
      OFFSETS:	15-19
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiTir_1]
   UNSPLITVOC:	(tifoTar)
          POS:	IV3FS+IV
          VOC:	ti+foTar
        GLOSS:	it/they/she+be given breakfast/constitute fast breaking/give breakfast to/breakfast/eat breakfast

 INPUT STRING:	معانا
     IS_TRANS:	mEAnA
        INDEX:	P1W5
      OFFSETS:	20-25
       TOKENS:	P1W6-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	maEa+nA
        GLOSS:	with+our

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P1W6
      OFFSETS:	26-28
       TOKENS:	P1W8-P1W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	وعلا
     IS_TRANS:	wElA
        INDEX:	P1W7
      OFFSETS:	29-33
       TOKENS:	P1W9-P1W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EulA_1]
   UNSPLITVOC:	(wiEulA)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+EulA
        GLOSS:	and+Ola

 INPUT STRING:	ومامتك
     IS_TRANS:	wmAmtk
        INDEX:	P2W1
      OFFSETS:	0-6
       TOKENS:	P2W1-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAmA_1]
   UNSPLITVOC:	(wimAmtik)
          POS:	CONJ+NOUN+NSUFF_FEM_SG+POSS_PRON_2FS
          VOC:	wi+mAm+ap+ik
        GLOSS:	and+mama+[fem.sg.]+your

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P2W2
      OFFSETS:	7-11
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	metabolism/also/else

 INPUT STRING:	طنط
     IS_TRANS:	TnT
        INDEX:	P3W1
      OFFSETS:	0-3
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TanoT_1]
   UNSPLITVOC:	(TanoT)
          POS:	NOUN
          VOC:	TanoT
        GLOSS:	paternal aunt/auntie/aunt

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P3W2
      OFFSETS:	4-6
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	ردتش
     IS_TRANS:	rdt$
        INDEX:	P3W3
      OFFSETS:	7-11
       TOKENS:	P3W3-P3W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(rad~it$)
          POS:	PV+PVSUFF_SUBJ:3FS+NEG_PART
          VOC:	rad~+it+$
        GLOSS:	answer/reply/return/be returned/be given back+it/they/she+not

 INPUT STRING:	حأكلمها
     IS_TRANS:	H>klmhA
        INDEX:	P3W4
      OFFSETS:	12-19
       TOKENS:	P3W5-P3W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(HaAakal~imhA)
          POS:	FUT_PART+IV1S+IV+IVSUFF_DO:3FS
          VOC:	Ha+Aa+kal~im+hA
        GLOSS:	will+I+talk/speak/talk to+it/them/her

 INPUT STRING:	ثاني
     IS_TRANS:	vAny
        INDEX:	P3W5
      OFFSETS:	20-24
       TOKENS:	P3W8-P3W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(vAniy)
          POS:	ADJ
          VOC:	vAniy
        GLOSS:	second/next/II/secondly

