 INPUT STRING:	الو
     IS_TRANS:	Alw
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aluw_1]
   UNSPLITVOC:	(>aluw)
          POS:	INTERJ
          VOC:	>aluw
        GLOSS:	hello

 INPUT STRING:	ازيك
     IS_TRANS:	Azyk
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~ay~_1]
   UNSPLITVOC:	(Aiz~ay~ik)
          POS:	INTERROG_ADV+PRON_2FS
          VOC:	Aiz~ay~+ik
        GLOSS:	how+you

 INPUT STRING:	اخبارك
     IS_TRANS:	AxbArk
        INDEX:	P2W2
      OFFSETS:	5-11
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(>axobArik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	>axobAr+ik
        GLOSS:	news/report/reports+your

 INPUT STRING:	ثواني
     IS_TRANS:	vwAny
        INDEX:	P3W1
      OFFSETS:	0-5
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAnoyap_1]
   UNSPLITVOC:	(vawAniy)
          POS:	NOUN
          VOC:	vawAniy
        GLOSS:	minutes

 INPUT STRING:	الحمدلله
     IS_TRANS:	AlHmdllh
        INDEX:	P4W1
      OFFSETS:	0-8
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AlHmdllh)
          POS:	NO_FUNC
          VOC:	AlHmdllh
        GLOSS:	nogloss

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	عاملة
     IS_TRANS:	EAmlp
        INDEX:	P5W2
      OFFSETS:	5-10
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmiluh)
          POS:	ADJ+PRON_3MS
          VOC:	EAmil+uh
        GLOSS:	active/operating/working+him

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P5W3
      OFFSETS:	11-14
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	ورغد
     IS_TRANS:	wrgd
        INDEX:	P5W4
      OFFSETS:	15-19
       TOKENS:	P5W5-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ragad_1]
   UNSPLITVOC:	(wiragad)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+ragad
        GLOSS:	and+ragad

 INPUT STRING:	وعمر
     IS_TRANS:	wEmr
        INDEX:	P5W5
      OFFSETS:	20-24
       TOKENS:	P5W7-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumar_1]
   UNSPLITVOC:	(wiEumar)
