 INPUT STRING:	أشرقت
     IS_TRANS:	>$rqt
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>a$oraq_1]
   UNSPLITVOC:	(>a$oraqat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	>a$oraq+at
        GLOSS:	rise/shine+it/they/she [verb]

 INPUT STRING:	شمس
     IS_TRANS:	$ms
        INDEX:	P1W2
      OFFSETS:	6-9
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$amos_1]
   UNSPLITVOC:	($amos)
          POS:	NOUN
          VOC:	$amos
        GLOSS:	sun/suns

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P1W3
      OFFSETS:	10-13
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(yuwm)
          POS:	NOUN
          VOC:	yuwm
        GLOSS:	today/day/some day/ever/days

 INPUT STRING:	العيد
     IS_TRANS:	AlEyd
        INDEX:	P1W4
      OFFSETS:	14-19
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eiyd_1]
   UNSPLITVOC:	(AlEiyd)
          POS:	DET+NOUN
          VOC:	Al+Eiyd
        GLOSS:	the+feast/holiday/festival/holidays/feasts

 INPUT STRING:	جعلكم
     IS_TRANS:	jElkm
        INDEX:	P1W5
      OFFSETS:	20-25
       TOKENS:	P1W5-P1W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jaEal-a_1]
