 INPUT STRING:	مريم
     IS_TRANS:	mrym
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maroyam_1]
   UNSPLITVOC:	(maroyam)
          POS:	NOUN_PROP
          VOC:	maroyam
        GLOSS:	Mariam/Miriam/Mary

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P1W2
      OFFSETS:	5-8
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	بأعمل
     IS_TRANS:	b>Eml
        INDEX:	P1W3
      OFFSETS:	9-14
       TOKENS:	P1W3-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(bAaEomil)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+Eomil
        GLOSS:	[present-tense]+I+function/make/act/do

 INPUT STRING:	بروجيست
     IS_TRANS:	brwjyst
        INDEX:	P1W4
      OFFSETS:	15-22
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(brwjyst)
          POS:	FOREIGN
          VOC:	brwjyst
        GLOSS:	nogloss

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P1W5
      OFFSETS:	23-26
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	محتاج
     IS_TRANS:	mHtAj
        INDEX:	P1W6
      OFFSETS:	27-32
       TOKENS:	P1W7-P1W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miHotAj_1]
   UNSPLITVOC:	(miHotAj)
          POS:	ADJ.VN
          VOC:	miHotAj
        GLOSS:	in need/wanting/requiring/needing/needy/poor/destitute/por

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P1W7
      OFFSETS:	33-36
       TOKENS:	P1W8-P1W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it

 INPUT STRING:	وطز
     IS_TRANS:	wTz
        INDEX:	P1W8
      OFFSETS:	37-40
       TOKENS:	P1W10-P1W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wTz)
          POS:	FOREIGN
          VOC:	wTz
        GLOSS:	nogloss

 INPUT STRING:	أبو
     IS_TRANS:	>bw
        INDEX:	P1W9
      OFFSETS:	41-44
       TOKENS:	P1W11-P1W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>bw)
          POS:	FOREIGN
          VOC:	>bw
