 INPUT STRING:	لينا
     IS_TRANS:	lynA
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liynA_1]
   UNSPLITVOC:	(liynA)
          POS:	NOUN_PROP
          VOC:	liynA
        GLOSS:	Lina

 INPUT STRING:	ازيك
     IS_TRANS:	Azyk
        INDEX:	P1W2
      OFFSETS:	5-9
       TOKENS:	P1W2-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~ay~_1]
   UNSPLITVOC:	(Aiz~ay~ik)
          POS:	INTERROG_ADV+PRON_2FS
          VOC:	Aiz~ay~+ik
        GLOSS:	how+you[fem.sg.]

 INPUT STRING:	?
     IS_TRANS:	?
        INDEX:	P1W3
      OFFSETS:	10-11
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	?
     IS_TRANS:	?
        INDEX:	P1W4
      OFFSETS:	12-13
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	تمام
     IS_TRANS:	tmAm
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamAm_1]
   UNSPLITVOC:	(tamAm)
          POS:	ADJ
          VOC:	tamAm
        GLOSS:	exact/complete/exactly/completely

 INPUT STRING:	حادلي
     IS_TRANS:	HAdly
        INDEX:	P2W2
      OFFSETS:	5-10
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(HAdly)
          POS:	TYPO
          VOC:	HAdly
        GLOSS:	nogloss

 INPUT STRING:	وانتي
     IS_TRANS:	wAnty
        INDEX:	P2W3
      OFFSETS:	11-16
       TOKENS:	P2W3-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(wiAinotiy)
          POS:	CONJ+PRON_2FS
          VOC:	wi+Ainotiy
        GLOSS:	and+you [fem.sg.]/you/feminine

 INPUT STRING:	?
     IS_TRANS:	?
        INDEX:	P2W4
      OFFSETS:	17-18
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P3W1
      OFFSETS:	0-3
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	كويسه
     IS_TRANS:	kwysh
        INDEX:	P3W2
      OFFSETS:	4-9
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
