 INPUT STRING:	ناني
     IS_TRANS:	nAny
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAniy_1]
   UNSPLITVOC:	(nAniy)
          POS:	NOUN_PROP
          VOC:	nAniy
        GLOSS:	Nani

 INPUT STRING:	الحلوة
     IS_TRANS:	AlHlwp
        INDEX:	P1W2
      OFFSETS:	5-11
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[AlHilow_1]
   UNSPLITVOC:	(AlHilowap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Hilow+ap
        GLOSS:	the+sweet+[fem.sg.]

 INPUT STRING:	ازيك
     IS_TRANS:	Azyk
        INDEX:	P1W3
      OFFSETS:	12-16
       TOKENS:	P1W3-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~ay~_1]
   UNSPLITVOC:	(Aiz~ay~ik)
          POS:	INTERROG_ADV+PRON_2FS
          VOC:	Aiz~ay~+ik
        GLOSS:	how+you

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P1W4
      OFFSETS:	17-18
       TOKENS:	P1W5-P1W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P1W5
      OFFSETS:	19-20
       TOKENS:	P1W6-P1W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	أميرة
     IS_TRANS:	>myrp
        INDEX:	P2W1
      OFFSETS:	0-5
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amiyrap_1]
   UNSPLITVOC:	(>amiyrap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	>amiyr+ap
        GLOSS:	Amira+[fem.sg.]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	اهلا
     IS_TRANS:	AhlA
