 INPUT STRING:	صباح
     IS_TRANS:	SbAH
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SabAH_1]
   UNSPLITVOC:	(SabAH)
          POS:	NOUN
          VOC:	SabAH
        GLOSS:	morning/in the morning

 INPUT STRING:	الخير
     IS_TRANS:	Alxyr
        INDEX:	P1W2
      OFFSETS:	5-10
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xiyor_1]
   UNSPLITVOC:	(Alxiyor)
          POS:	DET+NOUN
          VOC:	Al+xiyor
        GLOSS:	the+affluence/prosperity/good/wealth/welfare

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P1W3
      OFFSETS:	11-13
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	جميل
     IS_TRANS:	jmyl
        INDEX:	P1W4
      OFFSETS:	14-18
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(jamiyl)
          POS:	ADJ
          VOC:	jamiyl
        GLOSS:	beautiful/nice/fine (arts)

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P2W1
      OFFSETS:	0-2
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	if

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P2W2
      OFFSETS:	3-6
       TOKENS:	P2W2-P2W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P2W3
      OFFSETS:	7-11
       TOKENS:	P2W3-P2W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Allah_1]
   UNSPLITVOC:	(Allah)
          POS:	NOUN_PROP
          VOC:	Allah
        GLOSS:	God

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P2W4
      OFFSETS:	12-15
       TOKENS:	P2W4-P2W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الساعة
     IS_TRANS:	AlsAEp
        INDEX:	P2W5
      OFFSETS:	16-22
       TOKENS:	P2W5-P2W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(AlsAEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+sAE+ap
