 INPUT STRING:	بنت
     IS_TRANS:	bnt
        INDEX:	P1W1
      OFFSETS:	0-3
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(binot)
          POS:	NOUN
          VOC:	binot
        GLOSS:	daughter/girl/daughters/girls

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P1W2
      OFFSETS:	4-6
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	سيسي
     IS_TRANS:	sysy
        INDEX:	P1W3
      OFFSETS:	7-11
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[siysiy_1]
   UNSPLITVOC:	(siysiy)
          POS:	NOUN_PROP
          VOC:	siysiy
        GLOSS:	Sisi

 INPUT STRING:	سيسي
     IS_TRANS:	sysy
        INDEX:	P1W4
      OFFSETS:	12-16
       TOKENS:	P1W4-P1W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[siysiy_1]
   UNSPLITVOC:	(siysiy)
          POS:	NOUN_PROP
          VOC:	siysiy
        GLOSS:	Sisi

 INPUT STRING:	اموتري
     IS_TRANS:	Amwtry
        INDEX:	P2W1
      OFFSETS:	0-6
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Amwtry)
          POS:	TYPO
          VOC:	Amwtry
        GLOSS:	nogloss

