 INPUT STRING:	لينا
     IS_TRANS:	lynA
        INDEX:	P1W1
      OFFSETS:	0-4
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liynA_1]
   UNSPLITVOC:	(liynA)
          POS:	NOUN_PROP
          VOC:	liynA
        GLOSS:	Lina

 INPUT STRING:	أيوه
     IS_TRANS:	>ywh
        INDEX:	P2W1
      OFFSETS:	0-4
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	gloss

 INPUT STRING:	حلو
     IS_TRANS:	Hlw
        INDEX:	P3W1
      OFFSETS:	0-3
       TOKENS:	P3W1-P3W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilow)
          POS:	ADJ
          VOC:	Hilow
        GLOSS:	good/nice

 INPUT STRING:	الدرس
     IS_TRANS:	Aldrs
        INDEX:	P3W2
      OFFSETS:	4-9
       TOKENS:	P3W2-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daros_1]
   UNSPLITVOC:	(Aldaros)
          POS:	DET+NOUN
          VOC:	Al+daros
        GLOSS:	the+studying/checking/examining/lesson/study/lessons/classes

 INPUT STRING:	>
     IS_TRANS:	>
        INDEX:	P4W1
      OFFSETS:	0-1
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(>)
          POS:	PUNC
          VOC:	>
        GLOSS:	nogloss

 INPUT STRING:	مديه
     IS_TRANS:	mdyh
        INDEX:	P4W2
      OFFSETS:	1-5
       TOKENS:	P4W2-P4W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(mdyh)
          POS:	FOREIGN
          VOC:	mdyh
        GLOSS:	nogloss

 INPUT STRING:	أوميتتد
     IS_TRANS:	>wmyttd
        INDEX:	P4W3
      OFFSETS:	6-13
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>wmyttd)
          POS:	FOREIGN
          VOC:	>wmyttd
        GLOSS:	nogloss

 INPUT STRING:	<
     IS_TRANS:	<
        INDEX:	P4W4
      OFFSETS:	13-14
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(<)
          POS:	PUNC
          VOC:	<
        GLOSS:	nogloss

 INPUT STRING:	>
     IS_TRANS:	>
        INDEX:	P5W1
      OFFSETS:	0-1
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(>)
          POS:	PUNC
          VOC:	>
        GLOSS:	nogloss

 INPUT STRING:	مديه
     IS_TRANS:	mdyh
        INDEX:	P5W2
      OFFSETS:	1-5
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(mdyh)
          POS:	FOREIGN
          VOC:	mdyh
