 INPUT STRING:	روحتي
     IS_TRANS:	rwHty
        INDEX:	P1W1
      OFFSETS:	0-5
       TOKENS:	P1W1-P1W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raw~aH_1]
   UNSPLITVOC:	(raw~aHtiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	raw~aH+tiy
        GLOSS:	go home+you

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P1W2
      OFFSETS:	6-7
       TOKENS:	P1W2-P1W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P1W3
      OFFSETS:	7-8
       TOKENS:	P1W3-P1W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P2W1
      OFFSETS:	0-2
       TOKENS:	P2W1-P2W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	وانت
     IS_TRANS:	wAnt
        INDEX:	P3W1
      OFFSETS:	0-4
       TOKENS:	P3W1-P3W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(wiAinota)
          POS:	CONJ+PRON_2MS
          VOC:	wi+Ainota
        GLOSS:	and+you [masc.sg.]/you/masculine

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P3W2
      OFFSETS:	5-6
       TOKENS:	P3W3-P3W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P4W1
      OFFSETS:	0-2
       TOKENS:	P4W1-P4W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P5W1
      OFFSETS:	0-3
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	شكلك
     IS_TRANS:	$klk
        INDEX:	P5W2
      OFFSETS:	4-8
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	($akolik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	$akol+ik
        GLOSS:	manner/form/configuration/manners/types/forms/configurations+your

 INPUT STRING:	حلو
     IS_TRANS:	Hlw
        INDEX:	P5W3
      OFFSETS:	9-12
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilow)
          POS:	ADJ
          VOC:	Hilow
        GLOSS:	sweet/pleasent

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P6W1
      OFFSETS:	0-1
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
